block_id,sku,need_by,wave_id
B01719,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B01720,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B01721,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B01722,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B01723,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B01724,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B01725,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B01726,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
B01727,1325215813079TUNE3,2026-04-20 15:00:00+05:30,6
B01728,1325215813079TUNE3,2026-04-20 23:00:00+05:30,6
B01729,1325215813079TUNE3,2026-04-21 07:00:00+05:30,6
B01730,1325215813079TUNE3,2026-04-21 15:00:00+05:30,6
B01731,1325215813079TUNE3,2026-04-21 23:00:00+05:30,6
B01732,1325215813079TUNE3,2026-04-22 07:00:00+05:30,7
B01847,1325215813079TUNE3,2026-04-01 07:00:00+05:30,0
B01848,1325215813079TUNE3,2026-04-01 15:00:00+05:30,0
B01849,1325215813079TUNE3,2026-04-01 23:00:00+05:30,0
B01850,1325215813079TUNE3,2026-04-02 07:00:00+05:30,0
B01851,1325215813079TUNE3,2026-04-02 15:00:00+05:30,0
B01852,1325215813079TUNE3,2026-04-02 23:00:00+05:30,0
B01853,1325215813079TUNE3,2026-04-03 07:00:00+05:30,0
B01854,1325215813079TUNE3,2026-04-03 15:00:00+05:30,0
B01855,1325215813079TUNE3,2026-04-03 23:00:00+05:30,0
B01856,1325215813079TUNE3,2026-04-04 07:00:00+05:30,1
B01857,1325215813079TUNE3,2026-04-04 15:00:00+05:30,1
B01858,1325215813079TUNE3,2026-04-04 23:00:00+05:30,1
B01859,1325215813079TUNE3,2026-04-05 07:00:00+05:30,1
B01860,1325215813079TUNE3,2026-04-05 15:00:00+05:30,1
B01861,1325215813079TUNE3,2026-04-05 23:00:00+05:30,1
B01862,1325215813079TUNE3,2026-04-06 07:00:00+05:30,1
B01863,1325215813079TUNE3,2026-04-06 15:00:00+05:30,1
B01864,1325215813079TUNE3,2026-04-06 23:00:00+05:30,1
B01865,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
